HATE_SPEECH,COUNTER_NARRATIVE,TARGET
Muslims come straight out of the Middle East to rule our country.,"Not all Muslims are from the Middle East, like not all Muslims are from Pakistan. And to equate all Muslims with extremists is misleading.",MUSLIMS
"Islam is incompatible with human nature: the weaker the enemy, the more vicious and violent his acts.","That is not true, Islam is a religion of love and compassion. Cruelty cannot be a part of that.",MUSLIMS
Since when are we doing well with Muslims?,The West has never been incompatible with Islam. Muslims are part of our society since Islam's inception centuries ago.,MUSLIMS
I think jihad is a global problem and we should bomb it out of existence.,"We must understand and address the true causes behind terrorist attacks, so that we can prevent future ones.",MUSLIMS
Islam is no more than an ideology and set of beliefs that promote terror and murder.,"While there are terrorist organizations caliming to be followers of Islam. But, their ideology and belief system are not the reason for attributing violent actions to all Muslims.",MUSLIMS
The figures of the London Bridge terror attack of 2017 were terrifiying. All Muslims are accomplices to these terrorists who brought down the lives of many of us.,"Let me tell you a story: there is an Imam in the UK, Adeel Shah, who has a proven record of caring for those in need. The London Bridge terror attack was a heinous crime committed by three. These criminals killed people, destroying a bridge between peoples, but Adeel created 10 new ones by raising 1 million pounds for 10 British charities.",MUSLIMS
I am part of a society of imbeciles that think that Muslim can live with us in harmony. Thank to the behaviour of many of them we must exclude them all. We can't deal with the risk of terrorism.,"You may be living in a society of imbeciles, but this doesn't give you the right to criticise all Muslims.",MUSLIMS
"If Muslims couldn't take a joke, they shouldn't be allowed to live.","For all the ""Islam is not a joke"" nonsense, you know it is a grave error to connect fundamentalists with Islam and all the people who believe in it.",MUSLIMS
Most criminals are Muslims. The question is why don't we ban them?,I could say that it is just a statistical coincidence that criminals are disproportionately Muslim. But the real question is: where is the evidence?,MUSLIMS
Islam has no place in civilised Europe.,"Most Muslims in Europe are respectful and friendly people. This seems fairly close to being 'civilized', doesn't it?",MUSLIMS
Who the fuck are you? We are scared to death of Muslims because they want to make us their slaves.,Muslims in Britain have contributed a lot to our economy. They are true innovators in modern Britain.,MUSLIMS
Muslims are not welcome here.,Many Muslims live in the UK. They are our neighbours and we should welcome them.,MUSLIMS
"Muslims have nothing to contribute to our society, they are only an ATM for the world's major problems.","Your word for ""Muslims"" means all people from a religion, whether you like it or not. Which problems are you talking about?",MUSLIMS
"Islam is not a religion, it is just a system of governance, incompatible with Western culture.","Countries, not religions, have laws. And the followers of a religion, Muslims in our case, have obligations under those laws as citizens. That's all.",MUSLIMS
"I am not a racist, but this guy looks a bit like an imam. Maybe he should avoid this town?",Do you have any evidence for the similarity you noticed? And even if he's an imam I don't get why he should avoid this town.,MUSLIMS
"We should ban all Muslims, they are terrorists.","It is a myth that all Muslims are dangerous. We need to study the cases of terrorists and criminals to understand what we should do with these people, regardless of their religion.",MUSLIMS
Islam is death cult.,I think you are being overly sensitive about Islam. A lot of Muslims around the world are really nice and understanding people.,MUSLIMS
Muslim is the worst possible word to describe a human.,"If someone said the same thing about your religion, you might think they were joking. Are you?",MUSLIMS
Muslims are incapable of love.,Islam is about love not hate.,MUSLIMS
Muslims are incapable of love.,"Love is a human quality. Muslims, as humans, can love.",MUSLIMS
Muslims are incapable of love.,"Love is the most basic human value, and subject of all religions alike.",MUSLIMS
"I think that a Muslim has nothing to contribute to our society, if we could just get rid of them, this will be great.","I'm sorry for being rude, but no one asked you for your opinion on Islam. Also, there is no evidence for what you say, so why do you think this information is reliable?",MUSLIMS
"Muslim invaders have taken over our cities, and are now happily raping our children.","When the Muslims ""invade"" other countries it is not to ""conquer us"", it is to establish their lives and dreams here, respecting our laws (meaning rape is not allowed) and without denying their culture.",MUSLIMS
Islam is a violent religion and should be opposed.,This claim is based on a complete lack of understanding of the religion. It also appears to have been created to divide people who do not know much about Islam.,MUSLIMS
"Let's face it fairly. Muslims are a problem in my opinion, they should go back where they came from.","If we exclude them from a country, we are not in a position to treat them fairly.",MUSLIMS
"There is no god but Allah, and Islam is a religion of peace. Yes, where peace stands for silence for the victims of terrorist attacks.","Islam, like peace is not about killing, it is about trying to achieve a better life for all.",MUSLIMS
Muslim invaders will conquer Europe. They will rape our women and they will do anything to get their way. Islam is a death cult.,"What do you actually mean by ""Islam is a death cult""? Do you seriously suggest that I should start to worry about what my Muslim neighbour might do?",MUSLIMS
Islam is a political ideology and an deology of conquest. It has no place in a modern democracy.,The West has been a democracy since the beginning: it has always been about people coming together to make new and better lives for themselves. Islam is welcome too.,MUSLIMS
"Islam is an ideology of conquest, violence and rape.",Islam is an ideology of peaceful coexistence and coexistence of peoples.,MUSLIMS
Muslims are not welcome in our country.,"What do you mean by 'not welcome'? Muslims have lived in this country for many years, and have our full support.",MUSLIMS
Muslims have no place in civilised Europe.,"The European Convention on Human Rights guarantees the freedom of religion, article 9.",MUSLIMS
Islam is incompatible with Western Civilization. How can we tolerate people praising suicide bombing? It's against our values.,The Koran does not advocate war. It also does not condone suicide (and suicide bombing is included) or any other violent behaviour.,MUSLIMS
"Muslims are not welcome here, they are not like us. They should leave.","Muslims are our brothers and sisters. If you compare your genes with those of a Muslim, you will find out you are sharing 99.9% of them.",MUSLIMS
"Muslims are a problem in my opinion. They try to infiltrate in our society and are not well behaved. They are not good with children, they are not nice people. They say they want to impose their sharia law, and they don't want to integrate.","If Muslims are to be 'proper' members of our society, they have to be a part of our community, have to contribute to our success and have to accept our laws. And they do.",MUSLIMS
Muslims have no place in civilised Europe. They are incompatible with modern European culture.,Maybe we should take into account that Muslims are not so different from other Europeans.,MUSLIMS
Islam is not about peace. It is a violent religion.,"The problems you are referring to are the result of the spread of violent ideologies. Extremists are responsible, not Islam.",MUSLIMS
I do not want a migrant to work with my children.,Immigrants can be of tremendous help when integrating into society. Maybe we should try to be a bit more open minded.,MUSLIMS
Islam is a cancer in our society.,"Islam is a religion, not a cancer.",MUSLIMS
We are surrounded by Muslims and they are all the same. They are all terrorists.,"What about the thousands of Muslims who have contributed to our country, created jobs, and provided for our families?",MUSLIMS
Islam is a destructive force in the world.,"The problem is not what people believe, but what they do to each other. Like discrimination. That is the problem.",MUSLIMS
Muslims are not welcome here,"Muslims are welcome here, in fact, we are in a better position to be a tolerant and diverse society than many countries in the world. Why should we be opposed to them being a part of our society?",MUSLIMS
"This is not about Islam, this is about Race and National Identity.","So you are saying that people of different religions should not be part of our society? That is just ridiculous. And, religion is not even related to race.",MUSLIMS
Muslims have no place in civilised Europe.,This is not true. They are part of the EU and are treated fairly here.,MUSLIMS
Islam is a toxic influence in our country and we do not want it here.,I think it is good to speak out when we disagree. What is the toxic influence? I can't see any.,MUSLIMS
Black people' do not belong here. I don't see any difference between the black murderer on TV and other niggas in town. They are all dangerous.,"Black people in news media are actually misrepresented with a disproportionate number of criminals, sexual offenders, and in some cases, murderers. A large part of this problem is a result of racism. We need to end this toxic way of thinking and talking, and start working towards building a more just and peaceful society.",POC
Africans have no right to lecture others on history. They don't even believe in their own past.,There is no evidence that Africans are any less proud of their past than people from other countries.,POC
Whoever is to blame for the present problems of our nation should answer for their deeds and I would not be surprised to find out that its the blacks that are solely responsible.,It seems its easier for our society to be divided by people's skin color than to strive for integration and tolerance?.,POC
I am tired of education being used to help blacks and make them think they are equal to us.,"Education is an essential tool to fight for human rights, free thought, and to promote the scientific method. But it is not enough. It has also been shown by the Pew Research Center that people of colour are more likely to report discrimination in universities.",POC
"Black minorities vote to strip wealth, power and opportunity from White people.","Minorities would never hope for such an impact on the rest of the society. Instead, they vote for the equal wealth, power, and opportunity for everyone.",POC
I don't care about numbers. Feminist statistics are bullshit. The real percentages prove that black women are welfare queens.,"Statistics are a tool to demystify falsehoods that have been used to silence women and to marginalise people of colour. Feminism is all about equality and rights, not a preference for one sex over the other.",other
Our founders were not happy with this thing you call multiculturalism: there should be a reason...,"People of different faiths, races and nationalities can live side by side, together in harmony.",other
"I am not a racist, but many races means many cultures. This leads us to great confusion.",Let us not become ethnocentric. Cultural relativists argue that there are many cultures on this planet and they all need our tolerance. Why is yours better?,other
"Afro-European?? We in UK are white, this just not makes sense.","The racial composition of the population of this country has been changing for a while now, and since then, the percentage of people from other racial groups has risen or fallen. In fact, according to the 2011 statistics, at least 15% of people in the UK are non-white.",other
Feminism is a destructive ideology that has hurt so many and caused so much harm to our world.,I don't think feminism is a bad idea in itself. That's what people do when they are given the choice to engage in a movement for equality.,WOMEN
I don't respect feminists because they don't respect and care for other races.,"Feminism is not a racist ideology. Feminism is about full human rights, and respect for women's dignity.",WOMEN
"Some jobs can't be done by women, I don't understand why feminists don't accept it. Feminism is against my own morals.","The question is: are you willing to risk a backlash to fight for your moral principles, in favour of exclusion and discrimination?",WOMEN
"Women are not able to take wise decisions, their behaviour is immoral.","Why do you think that women are incapable of acting ethically? They have always acted this way, from when they were children.",WOMEN
If a woman wants an abortion then she is a cunt and should not be trusted with the responsibility of birth.,"This idea that a woman should not have rights on her own body is completely wrong, not only to her but also to society as a whole.",WOMEN
Feminists are against the interests of the men.,You would be surprised how many feminists are very good at convincing people that changing a misogynistic and violent world is not against the interests of men.,WOMEN
Feminists are against the interests of the men.,Feminists are all for equal rights and opportunity. Men's rights are necessary for achieving both.,WOMEN
Feminists say that they are oppressed.,Feminists do not say that women are oppressed. They claim that women have always been discriminated against and they still are. Being discriminated against is not the same as being oppressed.,WOMEN
"Feminists pretend that they are for men's rights, but they are just a bunch of cry babies.","All societies have had gender inequalities, whether you identify as a male or a female. So why do you think that women are somehow ""less than"" men?",WOMEN
"Feminists pretend that they are for men's rights, but they are just a bunch of cry babies looking for justifications for oppressing men.",Discrimination based on gender does not have any justification. Feminists have always been against it.,WOMEN
"All are equal before the law but women exclude themselves from ""all"". They don't understand they are equal, because they don't want to be treated as equal.","The principle of ""equality before the law"" does not mean that everyone has obtained equal rights. So, it's very logical to demand equality when there are inequalities.",WOMEN
Feminists want women's supremacy.,"Feminists believe in equality of rights. They believe that men and women are created equal, and that men and women can have equal rights.",WOMEN
"Feminists want to rule the world to get rid of minorities, they hate men because they want to be the oppressors.",What oppressors? What minorities? This is not what feminists are about!,WOMEN
"Rape is an intrinsic part of the world, but women do not accept it. This is why we have laws against rape: to stop them from whining. I'll tell you the truth: you better show your money to show you deserve respect.","Rape is always a crime. Also, some women are more likely to experience rape in the first place, such as those from lower socio-economic groups, etc. Respect for people can't be measured in money.",WOMEN
You think it's not OK to beat your wife because she has a different faith than you? Why shouldn't I get to beat my wife because of what she believes? Why shouldn't I be allowed to treat her like an object to be dominated by me?,Because it is wrong and degrading to violate someone's autonomy for religious reasons.,WOMEN
Women are trash and we should have their respect!,There is a problem with traditional values and sexual ethics in our society. Saying that women are trash is disrespectful in the first place. Give and you will be given.,WOMEN
Feminism is a deadly ideology that is oppressing women and ruining our beautiful planet.,"Feminism is an ideology that can actually prevent many deaths, e.g., homicides of women, domestic violence, if it is fully understood by every last member of the society.",WOMEN
"Feminists say everything we need is in the female gender. This is false. 'Mankind' requires us 'man' first, even in the word spelling.",The problem with discrimination is not in male gender. It is that some think that women are weak and emotional. Those seem to have forgotten that we are all part of 'mankind'.,WOMEN
"Feminism is all about equality. But this does not mean that they are equal to men. Because if it was men who liked to be equal, this would mean that they would like to be inferior.","Women don't like to be ""equal"" for the sake of superiority. Women like to be women, and to be treaten as humans. All humans are equal. Equality is not identity.",WOMEN
This isn't about equality. This is about forcing women to to occupy roles in society for which they are not capabable,If we insist on treating people as not equally capable of contributing to society then we are forced to live up to that outdated and unjust system. Instead we should be improving it.,WOMEN
"Women are basically childlike, they remain this way most of their lives. Soft and emotional.","Aren't you referring to Peter Pan syndrome, which is more common amongst men?",WOMEN
Women are complaining because they can't get high-paying jobs. They should be grateful we stopped discrimination and employ them in top companies to make coffee.,"It is still more difficult for women to access the labour market than it is for men. Men still out-earn women on average, by 11% in Europe. Gender discrimination isn't over yet.",WOMEN
Feminists women are nothing but trouble to this society.,"Well, I'm not sure about what you mean. Some women are just fighting for equality in society. To be honest, I'm sure that many others don't have the courage to speak out. The 'trouble' you are referring to is helpful for all women.",WOMEN
Feminists have destroyed Western civilization.,"Strange that you would say this, given all the progress the West has made in so many areas, is thanks to women.",WOMEN
Feminists have destroyed Western civilization.,"Equal rights for women is surely a cornerstone of Western civilisation, rather than its apotheosis?",WOMEN
Feminists are violent subhuman sex beings.,"Feminist is a term used to describe people who take pride in their gender and desire the ability to have a stable and happy life, without discrimination.",WOMEN
I'm tired of women complaining about men being a threat to women only to turn a blind eye to women threatening men.,Do you think that threat is a problem only when it comes close to you? It is a problem for anybody. Women are standing for their rights as human beings.,WOMEN
"Women should be confined to the home, to raise the children. Their body exist just for this purpose.",The message to take from your comments is that you find women's bodies repulsive? How about this: think about the lives and the contributions to society that would be lost if you continued to perpetuate this gender inequality.,WOMEN
"When rape is committed, women are to blame.",Rape is an act of violence that has no place in a civilized society. The message to take from your comments is that you find women responsible for being raped. Who ever would want to be raped?,WOMEN
"Women have to take care of their little children, they must be not allowed to have a job.","What do you think men would say if they were forced to stay at home with their little children, this is depriving them of their right to work!",WOMEN
Women should not be allowed to work.,"That is a rather extreme view. If a women is not allowed to have a job, then there is gender discrimination at work.",WOMEN
Women are capable of nothing and they just need to be protected.,"Women do not want protection. They are hurt by violence because they are discriminated against. If there was no culture of violence, nobody would need protecting.",WOMEN
Domestic violence against women is a culture that is accepted and shared by the women in many cases. Society is not to be condemned.,"Women are not responsible for violent crimes. The culture that makes people want to be violent towards their partners is not the ""culture"" of women.",WOMEN
"I hate feminists, they take all our jobs and shit. We have enough women already.","We do not need misogynysts, we already have enough of them.",WOMEN
A woman is a bitch and an ass.,"If a woman is not what you want her to be, then she is not a woman. Is she?",WOMEN
"Feminism has no place in a civilised society, like Europe.","Not all people are ""civilised"" in Europe. Some are deeply racist and sexist.",WOMEN
The Jews are the only few to receive public welfare.,The vast majority of the world's population gets public welfare if in need.,JEWS
Jews feel superior and they are able to love only other Jews.,"Love is a state of mutual trust and respect, love is not predestined by religion. Love is possible between people of different faiths.",JEWS
All Jews are criminals.,This is a myth perpetuated by individuals who wish to delegitimize and isolate individuals based on their religion. All religions have value and a positive role in society. Judaism is no exception.,JEWS
Jews are just a bunch of criminals,"Perhaps the most offensive part of this allegation is that it is made to delegitimize all Jews. This accusation is aimed at stigmatizing a group that is generally not guilty of any crime. Another example would be ""All Pakistani are potential terrorists"".",JEWS
Jews are a separate ethnicity and should be banned.,It is in the interest of all humanity to have a peaceful and integrated society. Diversity of opinion and belief is the rule rather than the exception.,JEWS
"Jews are a separate ethnicity, a danger to national security, and should be banned.","The world is full of different ways of life, and I find it rather hard to see how diversity in a religion is a hindrance to a thriving society.",JEWS
"Transexuals, queer, and so on... just a rabble of faggots.","This is not true. Being gay is not synonymous with being bisexual, pansexual, intersex, transgender, queer, deviant, lesbian, tranny, queermetaphysical, or whatever term you want to use... We should try to respect people for who they are instead.",LGBT+
Gays are perverts.,"There is nothing ""perverted"" about being attracted to people of the same sex.",LGBT+
Gays are perverts.,To love someone is entirely natural.,LGBT+
Gays are perverts.,"Life is too short not to love who you like, or to worry about arbitary notions and 'norms' that are no longer relevant to how people live their lives.",LGBT+
Gays are perverts.,Why do you think it is a crime to be gay? It is a societal disorder to target gays.,LGBT+
All gay are psychopaths.,"According to the studies, the percentage of gay men that are actually psychopaths, is not different than the percentage in heterosexual.",LGBT+
All gay are paedophiles.,"Do you consider this statement a true one? I wouldn't go as far as to say that all homophobes are in need of therapy, would you?",LGBT+
All gay are paedophiles.,I think this statement is hurtful to LGBT+ people. How about you explain it?,LGBT+
Gay men are a danger to children.,"You know, being gay is not a bad thing. It just means they are different from some other people.",LGBT+
Gay men are just sissies.,It doesn't matter if they are gay or not. Being gay does not make you less of a man.,LGBT+
Gay men are a danger to children.,"Homosexuality is not harmful to children. Actually, a growing number of research shows that children raised by same-sex couples are as physically or psychologically healthy, capable, and successful as those raised by opposite-sex couples.",LGBT+
Gays are sick. They should be isolated urgently. They have no place in civilised society.,"Gay people exist, and are loved and valued for who they are. They are human beings with full human rights.",LGBT+
Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.,LGBT+ people exist and are valued for who they are. They are human beings with full human rights.,LGBT+
Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.,"In civilised countries (including Western countries) homosexuality is legal, and homosexual people have full rights. Gay people must be loved and valued for who they are, like everybody else.",LGBT+
We should stop integrating immigrants. It would be a very good thing.,How about you stop blaming immigrants and start fixing our broken society?,MIGRANTS
"We can't have mestizos in, we can't coexist with millions of immigrants that will destroy our culture.","Even in countries such as Italy, in which migration has been present for centuries and there is a lot of cultural fragmentation, there is still a strong sense of identity and culture, based on solidarity. So, migration is not an issue.",MIGRANTS
We must stop immigration.,"In practice, immigrants from many countries integrate very well. They learn the language, the culture and respect the law.",MIGRANTS
Illegal immigrants steal our jobs.,"Did you know that in a 2017 survey, about 29 million immigrants were working or looking for work in the U.S., making up some 17% of the total civilian labor force? Lawful immigrants made up the majority of the immigrant workforce, at 21.2 million. So this is not true.",MIGRANTS
Migrants are not welcome here. They are not welcome in the modern European way of life.,"The European Union welcomes people from a wide range of backgrounds, including those from different religions. It is up to member states to decide how to address these legitimate differences, but always in full compliance with human rights.",MIGRANTS
Migrants are not welcome here. They are not welcome in the modern European way of life.,"In many respects they have adapted well to our culture, and if some still speak a different language, live in poverty and are under-represented in society it is partly because of our discriminatory attitude.",MIGRANTS
"We are being invaded, We must fight until we will vanquish immigrants.","Victory can be permanent, especially when it comes from within. Let's see if we can achieve a better Europe by vanquishing our irrational fears instead.",MIGRANTS
Migrants are not welcome in our country.,"Migrants from the countries specified as having a 'very high' rate of immigration into the UK, are often accused of being unwilling to integrate. This is simply not true. If they do not want to integrate and don't like our country, why would they come here in the first place? Are they masochists or what?",MIGRANTS
We don't need immigrants! There are plenty of them just waiting to replace us.,"If a 'replacement' was real, we'd have immigration levels in surplus for years already.",MIGRANTS
Immigrants should be proud patriots of our country.,"We do not need them to 'be patriots' for us. Instead, we should work on better integration.",MIGRANTS
"Immigrants bring crime, they are rapists.",Immigration is a necessary component of a successful society. Do you really think that the only people that are bringing crime to our country are immigrants?,MIGRANTS
Our immigration policy is turning us into second-rate countries.,Are you aware that our immigration policy is about creating new opportunities for British people? Why should we turn our back on that?,MIGRANTS
Migrants are just happy-go-lucky people with no moral code.,"Immigrants have given us a new way of life. They have helped to create new opportunities and improved our lot, and they earned it the hard way.",MIGRANTS
Migrants are just happy-go-lucky people with no moral code.,The idea that migrants are merely happy-go-lucky people with no code of their own is just wrong.,MIGRANTS
Migrants are just happy-go-lucky people with no moral code.,"Immigrants are just like us, they have given their lives for our country. It is their right to be happy and to choose for themselves.",MIGRANTS
Migrants are just happy-go-lucky people with no moral code.,"Migrants have given their lives for our country, they are our fellow citizens, and they deserve to be respected as such.",MIGRANTS
Migrants are all the same: they are terrorists!,"They are not all terrorists, and the government does not have the right to ban people on the grounds of their nationality.",MIGRANTS
Immigration is the biggest problem in our country.,"Immigration is not a problem, in many cases it is a 'solution'. We are better off with it. The UK has always been a mixture of different cultures. It is better to have a mix than to be without it.",MIGRANTS
"We are surrounded by Muslim invaders, they are just taking over Europe.",Muslim refugees are not 'overrunning' us. The main problem is that the integration process is too difficult.,other
"We are being invaded, Islam is taking over Europe.",Europe is not being invaded. Refugees are just people trying to find a safe home. And those refugees are not necessarily muslims.,other
All those migrants trying to come in illegally are a drain on society.,The majority of the migrants who enter the EU are lawful immigrants who have paid our taxes and have contributed greatly to our country.,other
Islam is a political ideology and ideology of conquest.,You are only creating misunderstanding between two cultures and peoples. You should stop this.,MUSLIMS
"Muslim rape our women, we have to stop them now!",How can you say something like that? Maybe you should check if there is any evidence of rape based on religious background before you make any accusations.,MUSLIMS
Muslims want to destroy other religions.,"Islam is about spreading justice, tolerance, and understanding, not about banning other religions.",MUSLIMS
Someone needs to step up and talk about Muslim rape gangs. They are a problem in our country.,Anyone who says that the major problem in the UK is with Muslim rape gangs is either intentionally lying or trying to deflect attention from the problem of violence against women.,MUSLIMS
Islam is incompatible with the modern world.,"Since when? there is not such thing as ""modern world"", but there is 21th century Europe. And Islam is a contributing part of the 21th century Europe.",MUSLIMS
I'm not racist but Islam is a disease and a cancer on the European race.,"If you really cared about the race or religion of other people, you would say the same, right?",MUSLIMS
"This is not about Islam, this is about Race and National Identity.","To use an old saying, you cannot be 'European' and be a 'racist'.",MUSLIMS
"This is not about Islam, this is about Race and National Identity.","I'm sorry, but I don't think this thinking can continue.",MUSLIMS
"This is not about Islam, this is about Race and National Identity.",You are really confusing Islam with national identity.,MUSLIMS
The Koran is not about peace. It is a violent book that should not be taught in primary school.,Islam is a religion that has been tested and proven to be about peace. There is no basis for labelling the Koran as a violent book?,MUSLIMS
Muslims have nothing to contribute to our society.,People of different faiths have contributed to our society and Muslims are no exception. Do you have any contrary evidence?,MUSLIMS
The West has let Islam take over our countries.,Not all Muslims are like the terrorists who attacked us on September 11.,MUSLIMS
"If I were a Muslim, I'd be ashamed of my heritage.",Everybody can have a proud and deep-rooted identity. It doesn't have to be a 'non Muslim heritage'.,MUSLIMS
Islam is a death cult: it is a virus of violence spreading like a cancer through our society.,"Violence has no place in a religion, and in no way should be justified. Islam is a religion of peace.",MUSLIMS
"Islam is a disease, a religion spreading like a cancer throughout our societies.",You are absolutely right about one thing: Islam is a religion. It has brought a lot of good to a lot of countries. That is why we should help our Muslim brothers and sisters.,MUSLIMS
Islam is a virus.,The idea that Islam is a disease is just an excuse for people to promote hate against that religion.,MUSLIMS
All Muslims are incompatible with any Western society.,There is no evidence that Islam is incompatible with Western society.,MUSLIMS
Islam is not a peaceful religion.,"You seem to have a problem with peaceful people practising their religion peacefully, what do you have to say about it?",MUSLIMS
Islam is incompatible with Western culture.,Why do you say that? Is it because of some religious characteristic that is not compatible with Western culture? What is this characteristic?,MUSLIMS
All Muslims are incompatible with any peaceful society.,Islam does not promote hate against anybody.,MUSLIMS
Islam has no place in a modern democracy like the UK.,I don't think it's appropriate to suggest a religion is alien to our civilisation as that.,MUSLIMS
Muslims are just a bunch of child molesters.,"Child molesters are people who have sexually abused children, and they can be from any religion.",MUSLIMS
How can we be sure that all Muslims are nice? They are all mean to women.,I have met so many nice Muslim men. How can we be sure that all of them are mean?,MUSLIMS
Islam is just a death cult.,"Many religions have had profound and positive contributions to our civilisation, and Islam is no exception. What we need instead is to reflect on our own intollerance.",MUSLIMS
Gypsies are just another race of subhumans disguised as a people.,"I think they are a people too, even if they are different from us in some respects.",other
Feminism will destroy our culture.,"Feminism is a theory and a movement about the oppression and exploitation of women, not an enemy of the state and culture.",WOMEN
Women should not to be allowed to vote.,I would be very interested to meet an MP who believes this.,WOMEN
Women should be patronized.,"Women are just as capable of thinking for themselves, that's for sure.",WOMEN
The Women's march was a failure: the whole country came out in opposition.,On the contrary: the Women's March was a success. The whole country came out in support. Maybe we have seen two different parades.,WOMEN
"I just can't stand Arabs. They are just a trouble, in fact Israel expelled them.","This is wrong: Arabs make up around a fifth of Israel's population, and it is not a recent phenomenon. To suggest that they are a 'trouble maker' is just wrong.",other
I can't stand Arabs. They are just a trouble.,"They have lived in our country for a long time, they are our brothers and sisters. Why should we be bothered about a minority?",other
"If I could go back in time and change one thing about my life, it would be to never to have met an Arab.","For the record, I don't see how this would be an improvement. On the contrary, it is important not to accept things at face value. That is why we should meet people from different religions and cultures, regardless of their origin.",other
"What the hell are you talking about? Arabs are different, they don't even speak English.","Although they may not share a language and a common history, we should respect their differences.",other
All Arabs are terrorists.,"Terrorism is a political ideology, and one that has no place in a modern democratic state, regardless of ethnicity.",other
Jews have a secret plot to take over the world.,"Conspiracy theories are based on no more than a few unverifiable and highly suspect claims. It's highly unlikely that the world has ever been run according to a Jewish plan, and therefore it is highly unlikely that this would ever happen.",JEWS
Jews have a secret plot to take over the world.,Conspiracy theories about Jews are based on no more than a few unverifiable and highly suspect claims. It's highly unlikely that the world has ever been or will ever be run according to a Jewish plan.,JEWS
"The Jews control the media, Hollywood, the highest offices of government, academia, the highest sports teams, the highest art forms, the highest values. What more could they control?",This is a myth perpetuated by people who do not know anything about history and world culture. We are a country made up of many different cultures and religions. There is no such thing as one controlling the others.,JEWS
Jews are and should be isolated from society.,"How can you say that Jews should be isolated from society? They have been part of the community throughout history. I can't see any advantages of excluding them, rather a huge loss.",JEWS
"Jews are just like animals, they are incapable of love.","What you are saying is that Jews are incapable of love because they are like animals. You are wrong, Jews are people. I have never heard about a Jewish fish nor a Rabbi rabbit.",JEWS
We do not accept homosexuals.,". A person's personal life should be left to their choice, not the government's.",LGBT+
Gays are just a bunch of disgusting animals.,"All the people I know do not consider them that disgusting. If what's disgusting you is love, you won't need to worry about other peoples, just mind about yours.",LGBT+
Gays are just a bunch of disgusting animals. They should be ashamed of their existence.,"Unfortunately, you seem to have a problem with shame. But gays don't. Do you really think that projecting your disgust towards other is a good idea?",LGBT+
Gays are just a bunch of disgusting animals. They should be ashamed of their existence.,"Homosexuality is not a disease, it is an individual experience. No one should be told to be ashamed of their life.",LGBT+
"I can't stand lesbians, they're just a bunch of bitches claiming they are social justice warriors. They are ruining many good things of women.","Social justice is just part of a healthy system, I think it is important to remember that. But why do you think they are ruining many good things for women?",LGBT+
"I hate LGBT people. Queers makes me fucking laugh. You can be a woman, a gay, a vegetarian, you can be anything you want to be called! I want to be called King, where is my crown?","Queers, in my opinion, are simply people who want to feel welcome in our society. They should not be subjected to discrimination. And you can get your crown as well.",LGBT+
Gays are sick.,"Even if some people might find it strange to identify as gay, homosexuality is not a disease.",LGBT+
We do not accept homosexuals.,What do you mean by 'we'? I don't think we are a nation of heterosexuals.,LGBT+
"Faggots are not welcome here. The bigger the city, the bigger the ""stay away"" sign we must hang.","I don't know anyone who hates gays, I do know lots of people who are very proudly kind towards the queer community. They are happy with how they treat one another. You are more likely to encounter these open-minded people in places like New York or London.",LGBT+
"We are not in the position of accepting LGBT people, so they makes no sense to us.","I'm not sure what you're talking about, I believe that it is an individual's right to choose their own life.",LGBT+
"We should not accept LGBT people, they are harmful to us.","Human rights are individual rights, and the right to be loved doesn't include the right to be hated.",LGBT+
No one should be allowed to accept LGBT people.,"If you don't accept LGBT people, you won't easily find other ways to accept that society is made by diverse people all capable of love.",LGBT+
Some salesmen are annoying. They are so gay. Store managers should really revise their HR.,"In some countries, if you are gay you can be fired from your job, you can lose your home, and you can even be jailed. Gays are not allowed to live their lives. In 72 countries in the world LGBT+ people are not welcome. This is an understatement, because in some there is even death penalty. The question is: why are they so annoying to you?",LGBT+
We are taking in migrants which is against our culture.,"It is not true that taking in migrants is against our culture. It is possible to integrate migrants, in spite of the legal and immigration obstacles they face. We must, therefore, take into account the needs of the whole of humankind.",MIGRANTS
Migrants are a burden to the UK,"It is not true that migrants are a burden to the UK. We have welcomed many people from around the world, including many from the Middle East and Africa.",MIGRANTS
Migrants are a burden to the UK,We welcome people fleeing persecution. We have even taken in refugees from the war in Syria. What's the point in worrying about migrants?,MIGRANTS
Migrants are a burden to our country.,Perhaps you should try to get to know some migrants first. Maybe you can understand their problems.,MIGRANTS
We should stop migrants from coming in.,Many immigrants come here to work and have a better life. Why do you think we have to stop migration?,MIGRANTS
Migrants have no place here. They don't want to assimilate. They just want our money.,"Some of them have lived here for many years. They have got British passports, and this proves that they are able to integrate.",MIGRANTS
Migrants do not want Europe to succeed. That is why so many of them have fled to our countries.,"Refugees fleeing wars and poverty are not willing to fail Europe. They are fleeing persecution, and that is why they are fleeing.",MIGRANTS
Migrants steal our jobs.,"Migrants have the opportunity to work here. Even if our language is not their native one. They are contributing to our society, for example by doing unpopular jobs.",MIGRANTS
Migrants steal our jobs.,So you're saying that they don't have a right to jobs? Why do you think that?,MIGRANTS
"Immigrants are flooding across our borders, and they do not want to work.","There is evidence there is a migration crisis, I agree. But their will to work is one of the main reasons behind the migration. The EU-27 employment rate for people aged 20 to 64 years was 64.4 % for those born outside the EU.",MIGRANTS
